; Suchindex fuer die eingebaute Symbol-Bibliothek (Schrift: Segoe Fluent Icons, Windows 11).
; Format: CODE|Name|Suchbegriffe (deutsch und englisch)
; Namen aus MicrosoftDocs/windows-dev-docs (CC BY 4.0), gefiltert auf die Zeichen der Schrift.
E700|GlobalNavButton|button global nav
E701|Wifi|funk wifi wlan
E702|Bluetooth|bluetooth
E703|Connect|connect
E704|InternetSharing|internet sharing
E705|VPN|vpn
E706|Brightness|brightness
E707|MapPin|anheften karte map pin
E708|QuietHours|hours quiet
E709|Airplane|airplane flugzeug
E70A|Tablet|tablet
E70B|QuickNote|note notiz quick
E70C|RememberedDevice|device geraet remembered
E70D|ChevronDown|chevron down
E70E|ChevronUp|chevron up
E70F|Edit|bearbeiten edit
E710|Add|add hinzufuegen neu plus
E711|Cancel|abbrechen cancel
E712|More|mehr more weitere
E713|Settings|einstellungen optionen settings
E714|Video|film video
E715|Mail|email mail post
E716|People|leute people personen
E717|Phone|phone telefon
E718|Pin|anheften pin
E719|Shop|laden shop
E71A|Stop|stop stopp
E71B|Link|link verknuepfung
E71C|Filter|filter
E71D|AllApps|all apps
E71E|Zoom|vergroessern zoom
E71F|ZoomOut|out vergroessern zoom
E720|Microphone|microphone
E721|Search|lupe search suche suchen
E722|Camera|camera kamera
E723|Attach|anhang anheften attach
E724|Send|send senden
E725|SendFill|fill send senden
E726|WalkSolid|solid walk
E727|InPrivate|in private
E728|FavoriteList|favorit favorite list liste
E729|PageSolid|page seite solid
E72A|Forward|forward weiterleiten
E72B|Back|back
E72C|Refresh|aktualisieren refresh
E72D|Share|share teilen
E72E|Lock|lock schloss sperren
E730|ReportHacked|auswertung bericht hacked report
E731|EMI|emi
E733|Blocked|blocked
E734|FavoriteStar|favorit favorite star stern
E735|FavoriteStarFill|favorit favorite fill star stern
E736|ReadingMode|mode reading
E737|Favicon|favicon
E738|Remove|entfernen remove
E739|Checkbox|checkbox
E73A|CheckboxComposite|checkbox composite
E73B|CheckboxFill|checkbox fill
E73C|CheckboxIndeterminate|checkbox indeterminate
E73D|CheckboxCompositeReversed|checkbox composite reversed
E73E|CheckMark|check erledigt haken mark
E73F|BackToWindow|back to window
E740|FullScreen|bildschirm full screen
E741|ResizeTouchLarger|larger resize touch
E742|ResizeTouchSmaller|resize smaller touch
E743|ResizeMouseSmall|maus mouse resize small
E744|ResizeMouseMedium|maus medium mouse resize
E745|ResizeMouseWide|maus mouse resize wide
E746|ResizeMouseTall|maus mouse resize tall
E747|ResizeMouseLarge|large maus mouse resize
E748|SwitchUser|benutzer switch user
E749|Print|drucken drucker print
E74A|Up|up
E74B|Down|down
E74C|OEM|oem
E74D|Delete|delete loeschen
E74E|Save|save speichern
E74F|Mute|mute stumm
E750|BackSpaceQWERTY|back qwerty space
E751|ReturnKey|key passwort return schluessel
E752|UpArrowShiftKey|arrow key passwort schluessel shift up
E753|Cloud|cloud wolke
E754|Flashlight|flashlight
E755|RotationLock|lock rotation schloss sperren
E756|CommandPrompt|command prompt
E759|SIPMove|move sip
E75A|SIPUndock|sip undock
E75B|SIPRedock|redock sip
E75C|EraseTool|erase tool werkzeug
E75D|UnderscoreSpace|space underscore
E75E|GripperTool|gripper tool werkzeug
E75F|Dialpad|dialpad
E760|PageLeft|left page seite
E761|PageRight|page right seite
E762|MultiSelect|multi select
E763|KeyboardLeftHanded|handed keyboard left tastatur
E764|KeyboardRightHanded|handed keyboard right tastatur
E765|KeyboardClassic|classic keyboard tastatur
E766|KeyboardSplit|keyboard split tastatur
E767|Volume|lautstaerke volume
E768|Play|abspielen play start
E769|Pause|pause
E76B|ChevronLeft|chevron left
E76C|ChevronRight|chevron right
E76D|InkingTool|inking tool werkzeug
E76E|Emoji2|emoji2
E76F|GripperBarHorizontal|bar gripper horizontal
E770|System|system
E771|Personalize|personalize
E772|Devices|devices geraete
E773|SearchAndApps|and apps lupe search suche suchen
E774|Globe|global globe weltkugel
E775|TimeLanguage|language sprache time zeit
E776|EaseOfAccess|access ease of
E777|UpdateRestore|aktualisierung restore update
E778|HangUp|hang up
E779|ContactInfo|contact info information kontakt
E77A|Unpin|unpin
E77B|Contact|contact kontakt
E77C|Memo|memo
E77E|IncomingCall|call incoming
E77F|Paste|einfuegen paste
E780|PhoneBook|book buch phone telefon
E781|LEDLight|led light
E783|Error|error fehler
E784|GripperBarVertical|bar gripper vertical
E785|Unlock|entsperren unlock
E786|Slideshow|praesentation slideshow
E787|Calendar|calendar kalender termin
E788|GripperResize|gripper resize
E789|Megaphone|megaphone
E78A|Trim|trim
E78B|NewWindow|neu new window
E78C|SaveLocal|local save speichern
E790|Color|color farbe
E791|DataSense|data daten sense
E792|SaveAs|as save speichern
E793|Light|light
E794|Effects|effects
E799|AspectRatio|aspect ratio
E7A1|Contrast|contrast
E7A5|DataSenseBar|bar data daten sense
E7A6|Redo|redo wiederholen
E7A7|Undo|rueckgaengig undo
E7A8|Crop|crop zuschneiden
E7AA|PhotoCollection|bild collection foto photo
E7AC|OpenWith|oeffnen open with
E7AD|Rotate|rotate
E7B3|RedEye|eye red
E7B5|SetlockScreen|bildschirm screen setlock
E7B7|MapPin2|karte map pin2
E7B8|Package|package
E7BA|Warning|achtung warning warnung
E7BC|ReadingList|list liste reading
E7BE|Education|education
E7BF|ShoppingCart|cart einkauf shopping warenkorb
E7C0|Train|bahn train zug
E7C1|Flag|flag flagge markierung
E7C2|Move|move
E7C3|Page|page seite
E7C4|TaskView|ansehen ansicht aufgabe task view
E7C5|BrowsePhotos|browse photos
E7C6|HalfStarLeft|favorit half left star stern
E7C7|HalfStarRight|favorit half right star stern
E7C8|Record|aufnahme record
E7C9|TouchPointer|pointer touch
E7DE|LangJPN|jpn lang
